"","Bifidobacterium","Adlercreutzia","Atopobium","Collinsella","Bacteroides","Barnesiella","Butyricimonas","Odoribacter","Parabacteroides","Paraprevotella","Prevotella","Saccharibacteria_genera_incertae_sedis","Chloroplast","Gemella","Granulicatella","Enterococcus","Lactobacillus","Lactococcus","Streptococcus","Clostridium_sensu_stricto","Anaerococcus","Parvimonas","Peptoniphilus","Anaerovorax","Anaerofustis","Eubacterium","Anaerostipes","Blautia","Clostridium_XlVa","Clostridium_XlVb","Howardella","Lachnoanaerobaculum","Lachnospiracea_incertae_sedis","Roseburia","Ruminococcus2","Syntrophococcus","Peptococcus","Clostridium_XI","Anaerofilum","Anaerotruncus","Butyricicoccus","Clostridium_IV","Ethanoligenens","Faecalibacterium","Flavonifractor","Oscillibacter","Pseudoflavonifractor","Ruminococcus","Subdoligranulum","Catenibacterium","Clostridium_XVIII","Coprobacillus","Erysipelotrichaceae_incertae_sedis","Holdemania","Turicibacter","Acidaminococcus","Phascolarctobacterium","Succinispira","Dialister","Veillonella","Clostridium_XIX","Fusobacterium","Acidovorax","Parasutterella","Sutterella","Desulfovibrio","Campylobacter","Citrobacter","Escherichia","Haemophilus","Akkermansia"
"F-018C1A",2,0,0,0,4545,0,0,6,141,0,0,0,13,0,0,0,1,0,5,12,0,0,0,2,0,0,0,54,9,1,0,0,78,23,14,1,0,60,0,0,1,62,0,52,2,50,1,17,0,0,2,0,3,0,0,0,35,0,0,0,0,0,0,7,0,0,0,0,0,0,6
"F-017C1A",0,0,0,0,7172,0,0,65,183,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,18,31,0,0,0,78,18,7,0,0,25,5,0,0,17,0,317,1,4,2,0,0,0,19,0,2,4,1,0,0,0,8,0,0,0,0,22,0,0,0,0,0,0,57
"F-025C2U",37,0,0,2,2776,0,0,6,8,0,0,0,0,0,1,0,0,0,2,32,0,0,0,1,0,2,0,119,13,1,0,0,112,1,217,25,0,93,5,0,0,3,0,956,3,128,0,608,0,0,5,3,3,0,0,2,6,0,0,0,1,0,0,0,11,0,0,0,0,0,17
"F-057-C2U",5,0,0,0,1574,49,3,37,163,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,1,0,90,11,3,0,0,150,5,98,45,0,330,0,0,1,51,0,170,1,76,2,77,16,0,69,0,1,1,2,0,0,0,37,0,0,0,0,45,0,0,0,0,0,0,7
"F-057-C1A",8,0,0,0,3811,1,0,13,215,0,3,0,0,0,0,0,0,2,3,3,0,0,0,3,0,0,0,123,32,0,0,0,123,95,163,52,0,136,3,0,3,1,0,165,1,13,2,94,2,0,0,1,1,4,1,0,29,0,11,0,0,4,0,0,0,0,0,0,1,0,2
"F-047-C1A",8,0,0,10,808,0,19,0,54,0,0,0,0,0,0,0,8,7,2,111,0,0,0,2,0,0,0,115,66,0,0,0,95,3,81,34,0,798,5,0,1,26,0,102,8,61,2,351,5,0,14,0,3,1,7,0,0,0,11,0,0,0,0,0,20,0,0,0,7,0,5
"F-024C1A",27,0,0,0,1137,0,0,2,56,0,1,0,0,0,1,0,0,0,51,6,0,0,0,1,1,0,0,379,61,2,0,0,109,303,101,99,0,134,10,2,26,3,0,2080,15,30,7,2,0,0,6,0,5,4,9,0,0,0,16,1,0,0,0,1,80,0,0,0,0,1,11
"N13",14,0,0,0,6438,0,1,4,25,0,0,0,0,0,0,0,0,1,4,69,0,0,0,0,0,3,0,60,22,27,0,0,22,12,84,17,0,93,0,0,3,0,0,158,5,2,0,3,0,16,1,0,3,0,3,0,1,0,13,3,0,0,0,0,8,0,0,0,6,1,0
"F-004C1A",0,0,0,1,5459,0,1,0,63,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,252,46,8,0,0,277,19,125,27,0,8,18,1,1,24,0,68,10,3,4,0,0,0,9,12,1,2,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,172
"F-026C1A",160,1,0,0,2272,57,0,11,82,0,0,0,0,0,0,0,0,0,3,11,0,0,0,2,0,0,0,20,7,0,0,0,54,0,99,15,0,271,8,5,0,1,0,161,53,32,9,435,40,0,2,1,21,4,4,0,0,0,105,0,0,0,0,13,0,0,0,0,0,0,118
"A09",0,1,0,0,1059,1,1,4,162,0,0,0,0,0,0,0,0,1,30,33,0,0,0,0,0,0,0,343,4,0,0,0,144,132,72,23,0,388,1,0,22,20,0,1054,3,6,0,38,12,0,10,1,3,3,41,0,1,0,2,7,0,0,1,21,0,0,0,0,0,0,0
"F065-C1A",7,0,0,0,1881,31,6,15,231,0,512,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,100,19,3,0,0,117,45,81,24,0,314,6,0,1,3,0,57,4,16,2,0,5,0,7,0,3,0,11,0,67,0,3,1,0,0,0,0,33,0,0,0,0,0,0
"F-002C1A",13,0,0,3,526,33,0,2,44,1,0,0,0,0,1,0,0,2,13,8,0,0,0,7,0,0,0,131,21,2,0,2,41,0,193,2,0,131,0,1,3,0,9,58,22,96,0,610,2,0,17,12,10,0,4,0,12,0,7,0,0,0,0,1,0,0,0,0,2,0,11
"F-038-C1A",13,0,0,0,4169,0,0,0,0,0,1,0,0,0,0,0,1,0,59,4,0,0,0,0,0,0,0,62,15,1,0,0,52,140,85,44,0,370,5,0,6,4,0,235,2,15,0,13,1,0,0,2,5,7,3,0,0,0,71,0,0,0,0,16,0,0,0,0,0,0,0
"F-030C1A",9,0,0,0,3258,1,4,9,127,0,1,0,0,0,0,0,0,2,60,42,0,0,0,4,0,0,0,197,21,0,0,0,91,13,139,48,0,173,5,2,2,5,0,89,7,42,1,12,2,1,43,1,17,5,5,0,41,0,0,0,3,0,0,0,6,1,0,0,0,1,2
"F-031C1U",5,0,0,0,6100,0,0,31,133,0,0,0,0,1,0,0,0,3,8,60,0,0,0,0,0,0,0,179,54,12,0,0,615,54,281,13,0,171,1,0,8,0,0,231,2,3,3,0,5,0,14,0,2,5,0,0,28,0,0,0,0,0,0,16,0,0,0,0,0,0,0
"A02",14,0,0,0,1649,1,1,4,54,0,0,0,0,0,0,1,0,1,49,33,0,0,0,2,0,0,0,36,31,0,0,0,58,18,72,23,0,538,15,0,5,0,0,37,2,6,1,3,0,0,5,0,2,0,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,33
"N02",9,0,0,0,3105,0,1,4,49,0,0,1,0,0,0,0,0,1,14,69,0,0,0,1,0,0,0,60,8,0,0,0,98,201,84,17,0,136,2,0,1,0,0,173,3,20,0,3,4,16,1,0,0,1,16,0,13,0,1,0,0,0,0,3,49,0,0,0,0,1,3
"F-043-C1A",9,0,0,0,2469,0,0,0,87,0,0,0,0,0,0,0,0,0,112,7,0,0,0,0,0,0,0,68,16,0,0,0,278,18,141,17,0,122,2,0,4,20,0,334,2,2,1,431,0,0,0,8,0,1,6,0,0,0,13,0,0,0,0,21,0,0,0,0,2,3,10
"N06",1,0,0,0,1946,67,1,4,49,0,4,0,0,0,0,0,0,1,14,69,0,0,0,3,0,0,0,60,29,1,0,0,90,12,84,110,0,222,2,0,0,43,0,316,24,11,7,3,6,16,1,3,19,3,16,0,18,0,1,0,0,0,0,14,0,0,0,0,6,13,0
"F-054-C1A",13,0,0,1,2642,62,0,0,143,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,107,23,2,0,0,106,59,107,30,0,6,1,1,3,3,0,698,2,6,0,111,0,0,1,0,0,1,0,0,0,0,141,0,0,0,0,13,0,0,0,0,0,0,1
"F-019C1A",3,0,0,2,1377,205,0,6,98,5,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,7,44,0,0,0,31,1,196,1,0,543,6,0,0,14,0,7,4,95,0,28,0,0,7,1,8,0,18,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,13
"F-011C1A",1,0,0,0,8044,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,8,0,0,0,320,2,52,4,0,5,1,0,0,216,1,78,1,22,2,97,0,0,3,0,0,2,0,0,0,0,2,0,0,0,0,0,10,2,0,0,0,0,42
"A19",0,0,0,0,2148,174,1,25,42,3,0,0,0,0,1,0,0,7,17,33,0,0,0,2,0,0,0,36,4,0,0,0,65,237,280,23,0,233,5,0,2,1,0,710,4,8,1,30,30,0,2,0,0,0,11,0,38,0,2,0,0,0,0,39,0,0,0,0,0,0,14
"F-003C2U",2,0,0,0,2490,0,0,14,82,0,0,0,0,0,0,0,11,0,7,8,0,1,0,0,0,0,1,251,30,20,0,0,269,6,207,4,0,31,3,0,5,9,0,1543,1,7,8,82,0,0,116,0,4,0,5,0,0,0,32,1,0,1,0,17,0,0,0,0,1,0,0
"F-044-C1A",1,0,0,0,4546,0,0,25,25,0,0,0,0,1,0,0,0,0,38,47,0,0,0,1,0,0,0,80,13,1,0,0,101,191,88,22,0,472,0,0,2,1,0,60,1,5,4,131,0,0,16,0,2,1,46,0,1,0,12,8,0,0,0,10,0,0,0,0,1,0,1
"F064-C1A",1,0,0,1,4447,151,8,13,102,3,0,0,0,0,0,0,0,0,5,21,0,0,0,3,0,0,0,118,18,0,0,0,49,10,41,23,0,362,3,0,0,1,2,65,6,35,1,82,0,0,4,0,13,0,7,0,48,0,0,0,0,0,0,0,3,45,0,0,0,0,1
"F-037-C1A",0,0,0,0,1253,1,0,0,15,0,33,0,0,0,7,0,1,4,46,145,0,0,0,0,0,0,0,83,25,0,0,0,92,108,69,11,0,636,4,0,10,40,0,169,4,50,3,53,4,0,8,0,2,4,28,1,0,0,54,1,3,0,0,16,2,1,1,0,0,11,0
"F-041-C2U",145,0,3,6,1442,27,16,2,34,0,2,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,17,2,0,0,0,19,28,30,282,0,57,3,1,8,0,0,594,3,11,1,6,19,0,1,0,0,0,0,0,0,0,0,2,0,0,0,17,0,0,0,0,0,0,4
"F-053-C1U",2,0,0,0,2001,0,0,5,89,0,0,0,0,0,0,0,0,0,23,93,0,1,0,0,0,0,0,161,20,0,0,0,103,16,160,25,0,474,3,0,0,4,0,417,4,37,8,396,1,0,0,3,13,3,4,0,21,0,0,0,0,0,0,0,0,0,3,0,1,0,0
"F-001C2U",112,0,0,1,4883,0,0,0,324,0,1,2,0,0,0,0,0,29,3,14,0,0,0,11,0,0,0,498,11,22,0,0,170,72,225,25,0,667,0,3,6,70,1,970,5,98,2,21,1,0,13,0,0,0,3,0,0,0,13,0,0,0,0,19,0,0,0,0,0,1,27
"F-017C2U",0,0,0,0,6209,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,187,5,2,0,0,20,33,52,11,0,116,1,0,0,3,0,197,0,2,1,1,0,0,1,0,0,2,0,0,0,0,20,0,0,0,0,0,8,0,0,0,0,0,1
"F-009C2U",2,0,0,0,598,0,0,2,27,0,1,0,0,0,0,0,0,1,15,38,0,0,0,8,0,0,0,26,4,0,0,0,244,13,34,10,0,226,0,0,1,13,0,83,1,20,2,38,2,0,6,0,5,1,1,3,0,0,14,0,0,0,0,0,4,0,0,0,0,0,1
"F-062-C2U",20,0,0,1,673,0,0,1,5,0,5595,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,69,13,4,1,0,61,12,25,4,0,58,0,0,9,3,0,322,0,4,0,0,19,0,4,0,3,1,3,0,19,0,98,1,0,0,0,0,13,0,0,0,0,0,0
"F-007C2U",0,0,0,0,56,0,0,3,2,0,0,0,0,0,0,0,0,0,3,1268,0,0,0,3,0,5,0,10,0,0,0,0,11,0,6,1,0,1887,2,0,0,8,0,5,3,4,0,33,1,0,1,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F-005C1A",38,0,0,0,3987,56,1,29,9,0,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,196,10,0,0,0,266,21,217,99,0,33,1,0,1,0,0,318,0,6,2,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,43,0,0,0,0,2,0
"F-015C2U",12,0,0,0,2559,0,4,3,61,0,0,0,0,0,0,0,0,0,5,152,0,0,0,0,0,0,0,53,24,10,0,0,136,122,77,17,0,356,0,1,1,8,0,296,2,15,3,113,6,0,5,0,2,3,4,0,53,0,1,0,0,0,0,20,0,0,0,0,0,0,0
