"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301"
"1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35,0,5,0,1028,0,0,1,0,243,19,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,454,0,0,0,0,0,0,0,22,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,9,0,0,0,11,0,0,0,0,0,0,8,0,0,0,1,3658,0,0,1,0,0,0,0,0,0,0,111,0,0,0,0,1,0,38,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,664,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,51,35,0,0,0,0,0,0,37,0,0,0,0,233,0,0,0,0,0,0,0,0,0,18,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,88,0,0,34,0,1,0,0,0,0,1920,0,0,28,0,0,0,0,1,125,0,0,0,0,0,81,0,0,0,0,42,0
"2",0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,0,0,0,1,0,0,2,0,0,0,54,0,0,0,121,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,24,0,17,2592,22,561,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2264,0,0,0,0,0,15,0,0,0,0,0,63,0,0,0,1,13,0,0,0,0,0,0,0,0,1,0,11,3,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,131,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,1,0,0,0,0,6,0,0,0,188,2,0,0,0,10,0,0,1,0,238,0,0,0,0,0,1,0,0,0,0,0,0,42,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,2,0,0,0,1476,0,0,274,0,0,0,63,0,0,1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,22,0,0,16,0
"3",0,0,0,1,0,0,0,0,0,0,0,0,1,0,56,0,0,0,0,0,0,28,0,3,0,3490,0,0,29,0,0,0,0,151,0,0,11,206,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,1,0,0,0,29,422,0,176,0,0,33,0,1,484,0,0,0,0,0,0,0,0,153,0,0,0,0,0,1,0,0,0,0,47,0,0,0,0,22,139,0,0,0,0,0,0,346,0,1,0,0,151,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0,1,0,0,0,93,0,0,0,0,0,0,0,0,0,112,0,0,0,0,328,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,2,0,0,0,0,0,0,0,0,5,3,0,0,0,1,0,0,0,0,2060,0,0,141,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,0,201,0
"4",0,0,0,0,0,0,126,0,0,0,3,0,0,0,0,0,0,0,0,0,0,205,0,0,0,4576,0,0,0,5,235,0,0,231,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,1,0,0,3,0,31,1,0,0,0,0,1,0,0,0,0,0,87,0,0,95,19,0,0,0,0,0,0,0,0,236,0,0,33,1,0,0,0,0,0,55,0,24,0,0,0,0,0,0,0,86,0,1,0,0,1,0,0,892,0,34,0,0,0,40,5,36,1,0,228,0,0,0,0,2,75,104,2,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,72,0,2,0,0,5,3,0,1,0,0,3,0,26,0,0,0,0,0,1,0,0,0,0,33,0,0,0,0,3,0,48,696,0,38,0,9,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,423,6,0,77,1,0,0,3,0,0,8,3,35,0,122,28,0,1,0,49,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,8,23,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,7,0,0,51,0,0,1,1,0,0,0,0,0,0,529,0,0,0,15,0,0,65,0,0,0,31,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,185,0,0,0,35,36,0,0,0,190,0,0,3,0,302,0,0,14,0,0,0,241,0,0,1,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,74,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1915,0,0,0,0,0,103,0,0,0,0,36,0,0,0,0,2,60,0,0,0,0,0,0,16,0,0,0,0,5,0,0,0,839,0,0,0,0,0,24,15,0,0,12,0,0,94,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,6,292,1,17,0,0,0,11,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,377,0,0,0,0,0,72,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,21,42,0,0,0,10,0,0,0,0,0,0,0,0,200,0,0,464,0,0,0,0,0,0,3208,0,0,201,0,0,0,0,0,32,0,0,0,0,0,13,0,13,0,0,0,0
"6",0,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0,14,0,0,2,0,42,0,0,5,4002,0,0,6,0,3,0,0,129,5,0,1,0,1,0,1,0,0,0,0,500,0,0,0,0,0,0,0,0,0,3,0,0,0,84,0,0,0,14,0,60,239,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,28,0,8,0,0,0,0,5,0,1,0,0,0,0,0,0,0,11,0,26,0,0,0,0,9,1649,0,18,0,0,0,33,0,0,0,0,226,0,0,0,0,1,45,125,0,0,0,0,9,11,0,1,0,0,10,0,0,0,14,0,0,0,87,0,37,2,0,0,0,0,0,2,1,0,0,0,67,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,412,1,0,0,0,0,2,0,0,0,0,0,0,59,1,0,0,0,0,1,0,20,0,0,0,0,0,28,1,0,0,6,0,0,7,0,1,0,66,1,0,9,48,5,0,0,0,0,0,0,6,0,6,0,0,194,0,0,0,0,0,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,4,1,0,0,0,146,1,754,26,0,34,0,0,0,1,1,1,0,0,0,147,0,0,0,0,0,15,17,0,0,0,0,0,0,3,0,0,25,0
"7",0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,89,139,0,0,0,1682,0,0,51,4,54,0,0,65,0,0,145,105,0,0,0,0,0,0,0,69,112,1,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,98,0,0,0,12,0,0,0,0,0,0,0,1,33,0,0,590,0,641,0,0,0,0,98,0,1,184,0,0,0,0,0,48,0,0,1,0,0,4,0,0,408,0,339,0,0,0,129,1,3,0,4,390,0,0,0,0,1,102,102,0,0,0,0,45,1111,0,1,0,0,222,0,0,0,9,1,0,0,0,0,3,1,0,0,22,0,5,0,0,0,0,0,0,75,0,0,0,4,58,0,0,0,0,0,5,0,0,4,7,0,0,1,296,0,0,0,0,0,19,0,0,131,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,73,0,1,1,121,2,0,0,0,0,0,0,0,1,0,0,72,19,0,0,0,962,0,0,0,0,0,1,0,0,52,0,14,24,0,87,0,0,0,2,2,0,14,6,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,14,189,0,1,1,0,0,11,6,2,0,204,0,0,0,0,0,0,9,0,0,0,0,31,0,6,0,0,42,0
"8",0,7,2,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,1327,0,0,165,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,996,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,12,25,0,0,0,5,0,2,0,0,0,0,0,0,1,0,5,1672,0,0,9,0,0,0,0,0,0,189,0,0,0,8,0,33,0,0,24,37,0,4,0,0,407,0,11,0,0,0,0,0,0,0,1,171,0,0,0,0,35,127,0,6,45,0,0,0,23,0,0,0,0,79,0,0,0,39,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,212,0,0,0,561,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,16,21,0,0,0,0,1,0,1,0,18,9,13,0,0,0,0,0,0,0,0,0,0,0,1330,0,0,0,4,0,2,0,0,0,0,25,7,0,1,0,0,0,0,8,0,2,19,3,0,0,0,1,0,0,1,0,0,0,0,22,889,0,0,759,0,36,0,18,0,0,0,0,0,475,0,0,0,0,0,0,10,0,0,0,0,0,0,8,0,0,4,0
"9",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,59,0,6,0,0,0,1,1,0,1298,0,0,0,0,0,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,697,0,0,1,0,0,0,352,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,717,46,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,11,0,0,0,0,1,0,2,0,0,0,0,0,0,0,5,70,0,0,0,0,0,0,118,0,6,0,0,322,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,118,1,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,1,3,0,0,0,0,1,0,0,0,362,0,0,35,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,1,0,57,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,122,0,0,0,0,0,0,4389,0,0,0,0,0,0,0,2,0,0,0,0,0,0,42,0,216,0,0,62,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,401,0,0,0,0,0,0,0,0,1,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,108,0,0,0,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,67,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3379,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,4140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0
