"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301"
"1",0,0,0,0,0,0,107,0,0,0,0,0,5,0,71,0,0,1,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,308,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1472,0,0,0,12,0,0,0,0,0,0,0,0,0,155,0,10,208,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,2,0,0,66,0,0,0,70,38,0,0,0,2136,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,450,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3610,0,29,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,13,0,0,0,0
"2",0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,1,0,0,1,52,67,0,0,12,1999,0,0,0,0,188,0,0,87,0,0,5,96,0,0,0,0,66,0,0,173,0,0,0,0,0,0,0,0,11,0,0,0,0,18,0,38,0,0,0,0,97,0,0,0,21,0,0,7,0,1,0,0,0,74,0,0,0,0,382,0,0,1,0,86,0,0,1,43,0,1,0,0,42,0,0,1,0,0,0,0,0,1239,0,0,0,0,0,95,0,0,0,0,54,0,0,0,0,0,101,0,0,0,0,0,13,439,0,0,0,0,0,1,0,0,3,0,0,0,0,0,13,0,0,4,13,0,0,0,0,0,0,0,39,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,100,0,1,65,0,0,0,0,0,0,0,0,26,0,154,0,1,654,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,10,1,1,0,6,0,10,0,0,0,0,0,0,27,0,0,0,13,0,0,0,0,0,0,9,2800,2,0,61,0,1,0,0,1,18,49,0,0,0,0,186,0,22,0,0,0,0
"3",0,0,0,0,0,0,0,29,0,0,0,0,0,0,3,0,0,0,0,23,81,48,0,0,0,860,0,0,4,0,152,0,32,13,0,0,0,156,0,0,0,0,0,156,0,486,0,1,0,0,0,0,0,0,12,0,0,0,0,81,0,0,0,0,0,0,42,0,0,0,47,0,0,0,0,0,0,0,0,0,0,1,6,0,53,20,2,0,0,51,0,5,0,0,4,0,0,0,132,0,0,0,0,0,5,0,3,218,0,37,0,0,0,30,0,0,0,0,47,0,0,0,0,1,177,32,0,0,3,0,22,32,0,0,0,0,3,0,0,0,121,0,0,0,0,0,125,15,0,0,14,21,0,41,0,0,0,0,8,93,0,0,0,0,0,0,0,0,0,0,18,0,21,0,0,0,0,0,0,4,0,0,0,0,53,0,0,0,0,0,0,163,0,0,0,0,0,6,0,0,0,0,0,0,0,172,0,0,1,0,5,0,78,0,22,3,99,64,0,8,0,26,0,0,0,0,86,0,3,0,93,0,0,756,0,0,42,0,0,162,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,209,42,0,6,27,2,0,0,26,0,0,0,0,0,27,0,0,610,0,0,0,0,0,0,3102,0,0,67,0,0,0,0,0,12,155,0,0,0,0,104,0,0,5,0,151,24
"4",0,2,0,0,0,0,1,0,0,0,1,0,0,0,17,0,11,11,0,3,0,5,0,19,0,3574,0,0,20,88,25,0,0,29,2,0,5,11,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,3,3,1,0,0,0,93,6,31,0,2,0,0,203,0,0,37,2,0,0,0,0,0,0,0,0,10,0,1,28,1,0,0,316,0,0,23,6,49,0,0,0,26,0,0,1,0,0,0,0,2,1,3,1,944,0,53,0,4,0,32,0,1,0,1,14,0,0,0,0,1,56,40,1,11,1,0,35,18,0,1,0,0,488,0,0,0,430,0,0,0,0,0,14,0,1,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,2,2,97,2,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,7,0,0,1,3,0,51,7,2,0,1,58,0,0,2,6,0,1,2,0,0,1,37,0,63,0,1,0,0,0,6,48,0,0,682,0,0,2,0,0,12,0,0,0,0,0,8,0,0,0,0,0,1,1,0,3,148,38,0,6,9,5,0,0,7,0,0,9,0,56,61,0,1,175,0,1,0,0,0,1,1358,0,0,8,0,0,0,0,0,0,7,0,0,0,2,6,0,35,0,0,8,0
"5",0,0,0,0,0,0,0,18,0,2,0,0,0,0,151,0,0,0,0,0,196,38,0,0,0,0,0,0,7,0,1,0,0,34,0,0,1,11,0,0,0,0,0,168,0,157,0,21,0,0,0,0,0,0,11,1,0,0,0,1,0,16,0,0,0,0,0,0,0,0,45,2,0,105,1885,0,0,0,0,33,5,0,15,0,86,0,0,0,0,44,0,6,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,39,0,74,0,0,0,92,0,0,0,0,45,0,0,8,0,0,0,90,0,0,0,176,24,434,0,0,0,0,124,0,0,0,36,1,0,0,0,0,0,14,0,0,9,20,0,4,2,0,0,0,63,32,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,7,18,0,0,0,0,0,0,4,0,0,0,0,0,1,37,1,0,0,0,0,0,0,1,0,0,0,56,0,26,0,0,0,0,0,0,109,1,8,0,104,186,0,0,0,22,0,0,0,0,0,0,78,10,226,0,0,494,0,0,2,0,0,0,0,0,62,0,0,0,0,0,0,1,0,2,26,1,7,1,19,0,3,18,0,0,0,2,0,0,0,0,0,168,0,42,1115,0,0,0,0,0,2,2721,0,0,10,0,0,0,0,0,90,39,0,0,0,0,66,0,0,0,0,49,0
"6",0,0,0,1,0,0,22,9,14,0,0,0,0,0,217,0,0,0,1,0,1,57,0,1,0,2368,0,0,21,10,0,0,0,111,0,0,1,0,0,0,0,0,0,8,0,96,0,2,0,0,0,0,0,0,0,1,0,0,0,24,0,1,1,0,0,1,10,0,0,0,4,0,0,0,0,0,0,0,0,14,0,2,0,0,4,3,228,6,0,7,0,24,0,0,0,0,0,0,28,0,0,0,0,0,7,0,6,68,0,0,0,0,0,1344,0,0,0,0,45,0,0,0,0,0,195,0,0,0,0,20,3,9,0,0,0,1,259,0,0,0,16,0,0,0,81,0,4,0,0,0,4,0,0,19,27,0,0,0,3,38,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,48,1,0,0,0,0,11,0,0,0,0,0,0,68,0,0,0,0,0,2,0,0,0,0,0,0,0,20,6,0,0,1,0,0,1,1,0,0,49,0,1,1,10,48,0,0,1,0,0,0,48,0,46,0,0,564,0,0,10,0,0,39,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,27,14,3,3,5,1,0,0,0,0,0,0,0,3,3,0,11,359,0,0,0,1,2,1,2225,0,0,97,0,0,0,0,0,4,41,0,0,0,0,44,4,294,0,0,27,0
"7",0,0,0,0,0,0,1,0,0,0,0,1,0,118,52,0,26,0,0,0,14,4,0,0,0,227,0,0,1,0,1,0,0,52,0,18,1,1,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,8,0,0,0,10,0,24,3,0,0,0,0,0,42,0,7,5,0,2,0,0,0,0,26,1,1,0,0,0,0,0,0,34,0,0,0,0,0,18,0,303,288,0,30,0,0,0,67,0,0,0,1,22,9,0,0,7,2,27,0,0,0,0,0,0,112,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,0,0,0,0,0,15,3,0,0,0,1346,0,0,0,0,0,0,0,1,17,1,0,0,0,29,6,0,0,0,0,0,0,0,0,0,0,0,0,4,1,25,0,0,0,0,0,0,203,0,0,0,1,6,0,0,1,0,0,0,0,0,1,2,72,0,0,0,0,0,0,0,0,67,0,0,33,1,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,35,1,1,0,0,237,0,9,0,3,6,0,2,2,0,1,13,0,2,0,0,11,0,17,3601,0,0,715,0,0,0,0,0,1,1253,0,0,9,0,0,0,0,0,1,7,0,0,0,0,21,0,18,0,0,9,0
"8",0,25,0,0,0,0,2,0,0,1,1,0,1,0,4,0,1,1,0,0,0,154,0,1,0,815,0,0,47,10,0,0,0,400,0,0,12,214,10,0,0,0,0,0,0,308,0,1,2,0,0,0,0,0,0,0,0,0,0,12,0,10,0,5,0,1,19,0,0,0,50,0,0,4,2,0,0,0,0,0,0,3,288,0,0,1,209,0,0,361,224,1,48,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,180,0,0,0,0,0,492,78,0,0,2,0,0,104,0,2,0,0,207,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,15,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,0,42,364,2,0,0,0,0,7,0,0,0,0,0,1,278,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,4,0,0,1,1,79,0,25,78,1,0,0,1,0,0,0,0,0,0,136,14,55,1,0,391,0,0,3,0,0,10,0,0,0,0,8,0,0,0,0,0,0,1,14,0,38,1,0,0,32,0,1,5,0,2,0,0,0,259,0,0,0,0,683,0,0,0,0,1,42,2066,1,0,699,0,0,0,0,0,3,39,0,0,0,0,0,7,18,0,0,191,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,698,0,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,107,0,0,0,0,0,0,0,0,0,0,0,429,18,0,0,356,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,475,0,0,0,0,5,99,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,92,0,0,0,0,311,904,0,0,0,53,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0,0,0,0,0,4618,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,2,0,120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,33,0,0,0,739,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,240,104,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,8,37,0,0,0,0
"10",5,0,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,28,0,27,0,0,0,719,0,0,0,17,0,58,49,0,0,0,0,213,0,0,0,0,0,0,0,154,0,2,0,0,4,0,0,2,226,0,0,0,0,355,0,0,0,0,0,0,92,0,0,0,147,0,0,0,0,0,0,0,0,180,0,0,0,0,0,1,2,1000,0,18,0,3,34,0,13,12,0,0,0,0,0,0,0,0,6,0,260,530,0,76,0,0,0,180,0,0,0,0,40,0,0,0,0,1,86,0,0,0,0,0,105,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,3,3,0,0,9,83,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,1,0,0,0,1,26,0,0,0,12,0,0,0,6,0,0,12,0,0,0,9,0,414,185,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,3,0,0,0,75,0,0,0,5,0,0,0,0,0,202,0,0,172,0,0,4,0,0,0,3023,0,0,415,0,0,0,0,27,23,10,0,0,0,0,0,0,0,111,0,12,0
