"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301"
"1",0,0,0,83,0,0,1,0,0,0,2,44,0,86,54,15,0,0,0,0,1,1,0,2,10,187,6,1,3,5,4,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,56,1,0,0,0,17,0,0,24,0,0,2,7,1,4,68,7,0,0,0,17,0,0,0,0,0,0,0,0,0,1721,0,0,26,0,0,1,0,0,0,0,0,16,0,0,5,1,51,0,0,0,0,1,2,1,0,0,0,653,86,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,1,1,11,0,1,0,0,2,0,0,0,0,0,0,13,0,0,0,0,389,0,0,0,0,0,98,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,35,0,1,0,0,0,0,0,5935,3,0,94,2,0,0,0,0,2,3,0,19,0,0,10,0,0,0,0,0,0,0,0,0,4,32,24,0,1,1,0
"2",0,0,0,306,0,142,2,0,0,0,5,0,0,0,0,0,0,1,0,5,38,163,0,1,37,55,28,0,217,2,1,0,0,28,30,0,5,265,0,12,76,22,0,48,0,37,1,34,0,1,0,0,0,0,0,0,0,0,0,241,0,107,25,0,0,0,20,188,2,0,0,0,0,7,0,0,0,0,0,111,0,0,411,0,0,8,0,0,5,25,0,28,0,8,0,127,0,0,1,0,0,10,0,0,0,0,0,1307,0,0,20,0,0,25,0,0,0,0,184,0,0,0,32,0,8,0,0,0,2,0,198,80,0,2,0,265,1,0,0,0,0,0,5,0,263,456,0,0,2,0,0,4,0,0,0,2,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,133,89,0,0,0,0,0,59,1,0,0,0,0,0,54,4,0,0,0,0,0,0,0,0,0,0,1022,60,52,0,6,0,20,0,0,0,10,18,0,147,0,207,0,75,0,0,0,0,0,0,0,16,0,301,0,0,57,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,76,1,0,50,0,0,20,0,8,0,0,0,0,0,0,0,0,1,0,97,190,0,0,0,0,7,17,2,0,0,773,3,0,0,0,0,0,39,0,0,0,0,28,0,4,0,0,54,0
"3",0,0,0,188,79,0,2,0,0,12,21,0,0,0,28,0,1,2,0,0,9,4,0,0,40,1759,53,0,57,0,32,0,0,87,417,0,17,1,0,0,0,15,0,0,0,196,1,3,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,10,0,5,21,0,0,0,15,0,0,1,0,0,0,42,0,46,0,22,27,0,1,1,0,0,4,12,0,4,197,0,0,0,0,0,47,0,0,0,0,0,3,0,0,526,2,0,177,0,0,219,131,0,0,6,162,0,0,0,317,0,19,64,0,14,6,49,7,5,0,9,0,864,33,0,0,0,1,0,5,0,289,0,0,0,0,3,4,0,51,42,0,0,0,0,0,71,0,0,0,5,0,0,0,0,0,0,4,0,22,0,0,0,0,0,17,1,0,0,0,0,16,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,81,0,0,391,0,19,0,0,5,0,0,0,8,0,0,0,118,0,25,3,14,47,0,0,0,0,0,0,232,12,244,0,0,335,0,0,8,0,0,0,0,0,0,0,0,6,1,0,1,0,0,1,0,0,0,0,2,0,9,0,1,0,0,2,0,0,0,0,1,12,0,0,228,0,0,0,0,1,0,1252,0,0,107,0,0,0,0,0,0,8,0,0,0,0,3,0,189,0,0,37,0
"4",0,0,0,0,0,0,0,39,0,0,3,7,0,370,0,0,0,0,1,20,20,72,0,0,1,0,0,0,0,0,309,0,0,131,0,0,23,181,0,0,0,1,0,0,0,54,75,0,0,0,21,0,0,0,0,1,0,0,0,31,4,14,1,0,0,0,70,0,0,62,21,0,0,20,0,0,0,0,0,15,0,1,3,1,28,0,0,1,0,88,151,0,0,0,0,0,0,1,0,0,13,0,1,28,0,0,334,11,0,104,0,0,0,300,0,0,0,0,0,4,0,0,0,126,567,0,0,9,0,0,0,175,0,2,0,0,0,0,0,4,0,0,0,0,263,0,21,7,0,0,5,0,0,23,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,68,3,0,0,0,0,9,0,0,0,0,0,0,382,6,0,314,0,1,4,0,0,24,0,0,0,490,9,0,0,0,5,0,0,1,2,5,0,100,17,0,3,0,29,0,0,0,0,110,0,110,2,26,0,0,357,0,0,3,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,49,14,0,1,0,0,0,126,0,45,0,0,0,0,0,0,4,3269,4,0,107,0,0,0,0,6,55,37,0,0,0,0,0,64,0,50,0,93,0
"5",0,0,0,0,0,0,8,0,0,0,0,0,0,0,62,0,0,6,0,0,0,0,0,6,0,126,0,0,25,0,0,0,0,61,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,140,0,0,14,0,0,0,0,0,155,0,0,0,0,0,461,0,0,0,0,0,9,0,0,0,0,77,0,0,0,43,0,78,4,0,0,0,0,0,50,0,1,0,0,297,1,0,0,725,0,1,0,0,523,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,2,0,0,0,277,0,0,0,0,0,0,5,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,4297,0,0,0,0,0,5,0,0,1968,7,0,0,0,0,1,0,0,0,0,0,0,0,0,91,0,0,0,0
"6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,8,0,4408,0,0,26,15,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,5,0,4,0,0,0,29,113,0,0,0,0,0,0,0,0,47,0,0,1,0,0,941,0,0,1,0,110,0,0,0,0,0,47,0,0,0,0,1,72,0,0,0,0,0,9,0,0,0,17,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,9,0,0,0,0,0,51,0,0,0,0,0,15,0,0,114,0,0,0,41,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,3106,0,0,37,0,0,0,0,0,0,0,0,12,244,0,0,0,0,7,0,6,0,0,0,0,16,0,22,0,0,33,0
"7",0,0,0,0,0,0,3,72,0,0,3,0,0,0,42,0,56,0,0,0,161,71,0,0,0,257,0,0,77,0,1,0,0,164,0,16,0,137,0,0,0,0,0,90,0,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,146,0,263,0,0,164,44,0,0,8,0,0,0,0,0,188,0,9,105,0,0,2,383,0,0,77,0,11,2,0,54,0,0,0,34,0,5,0,0,0,0,0,163,279,0,36,1,0,0,347,29,0,0,0,148,0,0,0,0,1,40,598,0,0,0,0,158,223,0,8,0,102,412,0,0,2,6,0,0,0,0,0,50,1,0,0,14,94,1,0,0,0,0,0,0,68,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,29,143,0,0,0,0,0,9,0,0,0,0,0,0,100,1,0,0,0,0,1,0,0,0,0,0,0,114,12,0,0,1,12,0,0,0,2,6,1,18,0,21,23,15,0,0,0,0,0,0,0,161,0,192,0,0,778,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,81,4,6,0,5,1,4,0,0,11,2,0,0,20,0,0,0,0,0,16,0,12,34,0,2,0,0,0,0,1193,0,0,581,0,0,0,0,0,0,106,0,0,0,0,8,0,356,18,0,33,0
"8",0,0,0,0,0,0,100,0,0,0,0,0,0,0,109,2,15,0,0,0,0,1,0,34,0,2495,0,0,111,20,122,0,0,43,0,0,46,166,0,3,0,0,0,0,0,92,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,21,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,264,0,0,0,0,26,88,0,0,13,6,0,57,0,0,155,0,0,0,0,0,305,0,0,1,0,0,0,0,0,0,0,9,0,8,0,50,0,59,0,105,0,0,0,0,0,0,0,0,1,536,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,1,0,0,0,2,0,0,4,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,42,0,0,0,9,0,0,0,0,2356,1,0,0,1,141,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,0,0,0,0,3,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,245,0,0,0,0,0,7,0,0,0,360,0,0,0,0,15,0,0,0,0,0,0,6,0,0,0,0,98,0
"9",0,0,0,0,26,0,0,0,0,0,0,0,0,0,29,0,2,0,0,0,0,34,0,2,0,3866,0,0,3,0,0,0,0,43,0,0,1,1,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,0,188,0,30,4,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1,142,0,0,0,0,2,0,0,0,0,0,1,57,0,0,0,0,0,0,0,0,306,0,13,0,0,0,0,0,0,0,0,49,0,0,0,0,1,0,9,0,8,0,0,0,0,0,1,0,1,349,0,0,0,24,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,71,0,0,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,4,0,9,0,58,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,10,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,114,0,0,316,0,0,0,0,0,0,3497,0,0,89,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,74,0
"10",0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,89,0,0,13,1486,0,0,23,0,1,0,0,160,0,0,0,0,0,1,0,0,0,0,0,177,1,0,0,0,0,0,0,0,150,0,0,0,0,384,0,34,0,0,0,0,42,0,0,185,67,0,0,0,0,0,0,0,0,19,0,0,14,0,45,1,1,1,0,50,0,0,2,0,0,1,0,0,0,0,0,36,0,0,0,0,0,297,0,0,1,0,8,14,11,12,0,0,226,2,0,0,0,0,302,57,0,0,0,0,70,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,14,0,0,6,34,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1964,17,0,6,0,0,0,0,0,0,1,0,0,1,18,0,1,2,0,0,0,9,3,1,0,0,35,0,2,0,0,25,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0,0,0,0,0,0,0,79,0,24,473,0,0,3,0,0,0,2051,0,0,914,0,0,1,0,0,0,46,0,0,0,0,11,0,7,0,0,74,0
