"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,2,0,0,0,3,0,0,0,0,0,0,68,0,13,123,0,130,0,0,0,0,0,0,0,0,0,0,0,696,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,127,0,0,0,0,0,83,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,503,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,1495,0,0,0,0,0,0,0,0,1755,27,0,0,17,39,0,0,0,0,0,0,0,1041,212,0,0,0,0,0,0,42,0,0,0,1,0,0,0,0,0,0,0,76,0,0,0,0,0,22,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,129,0,556,0,0,0,2,12,0,41,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,57,0,0,0,0,100,0,0,5,2,0,42,0,0,0,0,8,1,0,0,0,0,450,0,6,0,0,0,0,0,0,66,0,0,0,0,1,0,0,0,0,0,0,29,740,0,0,0,0,0,0,0,0,0,250,10,0,0,0,0,0,31,0,0,0,0,0,0,8,0,0,115,0
"2",0,0,2,0,0,0,0,3,0,5,0,5,0,0,4,1,0,11,0,0,1,19,0,0,6,1264,22,0,0,0,0,0,0,85,0,0,1,13,0,0,0,0,0,6,0,67,0,0,114,0,0,0,20,0,5,0,0,0,0,19,0,0,0,2,0,0,14,0,0,4,2,18,5,1,0,0,0,0,0,44,8,0,85,32,0,0,98,0,0,0,1067,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,53,332,0,15,0,17,0,4,0,0,0,0,33,0,0,0,0,8,213,60,0,0,0,0,3,11,0,0,7,0,4213,14,0,0,0,3,0,0,0,0,0,1,0,0,1,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,915,0,0,0,0,24,123,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,2,90,0,0,0,0,0,0,0,16,0,4,0,2,7,0,0,292,0,0,0,0,0,3,0,54,0,1,0,0,137,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,2,13,0,0,0,0,0,0,0,890,0,0,31,0,0,0,0,0,0,5,0,0,0,0,6,0,77,0,0,26,49
"3",0,0,5,0,0,0,0,26,0,32,0,0,9,129,84,0,0,83,0,0,0,15,0,53,0,621,193,0,21,8,626,0,0,11,0,0,8,125,0,0,0,0,0,0,21,0,0,3,377,0,0,0,65,6,3,0,0,0,0,212,0,24,0,15,0,4,233,0,0,0,0,14,15,16,0,0,0,0,19,147,0,2,44,1,0,1,0,1,0,76,0,112,17,0,0,127,0,0,0,0,0,38,0,0,0,0,0,1173,0,51,0,0,18,12,0,0,0,1,76,24,0,0,0,43,0,0,0,0,0,0,0,0,0,0,12,10,1030,0,0,0,20,0,0,1,0,0,56,0,30,0,1,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,91,102,2,0,0,0,0,0,0,0,0,0,0,0,136,7,27,19,0,0,1,0,0,0,0,0,14,648,463,0,0,0,0,0,0,0,0,0,0,13,4,131,0,0,38,0,0,0,0,0,0,0,0,0,1,0,1016,0,0,1,0,0,27,0,0,1,0,3,0,0,0,0,0,0,0,0,0,28,7,4,0,0,0,0,0,0,0,0,0,0,0,4,354,0,0,21,0,0,0,10,4,0,11,1,0,6,0,0,1,0,0,217,0,0,0,0,0,0,0,3,0,0,139,0
"4",0,2,0,0,0,0,0,1,0,0,0,9,0,0,27,0,0,22,0,0,0,15,22,210,0,1150,32,0,4,0,1201,0,0,27,0,0,17,0,1,0,0,0,0,2,0,0,0,1,751,0,0,0,34,7,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,5,15,0,37,50,0,0,0,0,0,5,0,0,0,0,0,42,0,0,5,0,0,0,0,0,0,0,233,314,0,58,0,0,0,34,2,200,52,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,12,132,107,25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,12,0,0,0,1313,0,0,6,0,0,0,3,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,153,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,2290,37,0,0,0,25,74,42,0,27,0,0,0,199,588,0,0,25,0,0,0,0,0,0,58,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,16,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,100,0,0,236,0,0,3,0,0,0,9,0,0,13,0,0,0,0,0,0,7,0,0,0,0,262,0,2,33,0,42,0
"5",22,1,4,0,0,0,0,2,0,0,0,0,0,125,20,6,18,12,0,2,0,11,0,0,0,2589,33,0,4,0,0,0,0,127,0,0,41,1,0,0,0,0,0,2,0,320,0,0,119,0,0,0,25,0,3,0,1,0,4,0,0,0,0,0,167,0,0,0,0,1,4,14,10,7,0,0,0,0,0,0,15,0,4,78,0,0,0,0,0,76,0,0,1,0,24,1,0,0,185,36,0,1,0,0,0,0,59,179,0,0,0,11,2,32,0,12,5,0,3,1,1,0,0,15,972,25,1,3,0,0,3,173,2,0,0,0,159,44,0,0,0,6,0,0,0,0,1,0,0,5,5,7,0,1,1,0,0,0,1,38,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,32,12,0,0,0,0,0,2,0,0,0,0,0,1,36,3,0,0,0,38,0,0,16,0,0,15,1,0,0,0,0,0,0,0,0,0,2,16,0,54,0,0,0,0,1,0,0,0,13,0,0,118,0,66,0,0,622,0,0,0,0,0,35,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,212,0,8,0,0,0,0,2269,0,0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,75,8
"6",0,0,0,0,0,0,1,19,0,0,0,0,0,22,6,0,0,0,0,0,1,13,0,1,0,989,0,0,2,0,0,0,0,13,0,0,1,9,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,38,0,38,11,0,0,0,124,0,2,31,0,0,0,0,0,0,0,0,0,1,0,14,61,1,0,0,138,0,0,18,0,1,15,0,0,0,0,0,0,0,0,6,0,0,0,0,76,760,0,0,0,0,0,0,0,5,0,0,94,0,0,0,2,0,32,0,1,0,0,0,0,0,0,0,0,25,4,0,0,0,12,0,0,0,0,0,0,0,0,0,10,32,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,5,0,0,0,0,0,117,1,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,51,0,198,0,10,0,0,0,0,0,0,0,5,0,107,0,0,974,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0,0,0,0,16,0,0,0,0,1,19,0,0,0,0,0,0,0,4691,0,0,169,0,0,0,0,0,4,0,0,0,1,0,0,0,0,14,30,0,0,0,0,0,0,0,0,0,0,28,0
"7",0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,56,0,0,0,0,0,72,0,784,63,0,44,14,105,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,51,0,0,0,0,0,0,1,0,0,0,4,0,0,1,4,0,0,0,14,8,0,0,0,0,0,0,1,74,0,22,191,0,0,1,0,0,0,7,0,290,0,0,0,0,0,0,7,0,28,0,0,4,0,0,22,0,0,0,0,1,7,0,42,0,0,0,0,0,0,0,20,0,51,0,0,0,0,0,0,0,5,25,20,779,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5097,0,0,0,0,0,9,1,0,1,0,0,11,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,18,0,1,1,0,1,69,0,0,0,0,0,1,0,0,0,0,0,2,0,11,0,19,0,0,0,0,0,0,0,30,0,0,5,0,0,2,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,7,1,1,0,0,0,0,0,1,93,0,0,0,0,772,0,0,339,0,0,0,1,0,0,2,0,0,110,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,19,0
"8",0,0,6,0,0,0,0,31,1,0,0,0,0,256,21,0,0,0,0,0,0,0,0,0,0,1446,64,0,6,0,100,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1094,0,0,319,0,0,0,77,0,0,0,0,0,17,0,0,58,1,4,167,40,39,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,82,178,0,0,0,0,13,0,0,9,3,0,39,0,0,0,0,18,0,0,0,0,0,0,32,271,0,0,11,3,71,0,0,0,11,8,0,0,0,0,0,0,0,14,5,0,2,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,86,0,0,0,0,2,0,0,7,0,0,0,0,109,0,0,0,1,0,1,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,974,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,91,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,8,1186,0,6,0,0,0,0,1,0,0,0,0,1859,0,0,391,0,0,11,0,0,5,0,0,0,0,0,6,0,0,0,1,46,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,24,0,0,18,0,0,0,0,0,2020,0,0,41,40,345,0,0,57,0,0,1,84,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,202,0,0,0,0,0,0,11,0,94,96,0,0,21,0,0,33,0,0,5,0,0,0,0,0,1365,0,0,0,0,0,73,0,0,0,0,68,0,0,0,0,3,66,0,0,0,0,0,6,29,0,1,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,19,756,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,0,191,0,0,0,13,0,0,0,0,0,0,0,0,131,0,361,0,0,0,0,0,0,0,25,0,36,0,0,721,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,19,0,0,0,0,0,4,861,0,0,69,0,0,0,0,0,0,33,0,0,0,0,0,0,16,0,0,52,0
"10",0,0,0,0,0,0,5,2,0,4,0,0,1,0,24,0,0,11,0,0,0,0,16,2,1,92,26,0,10,6,43,0,0,7,0,0,0,0,0,0,0,0,0,2,65,1,0,0,354,0,0,0,28,0,0,0,0,0,0,0,1,0,0,3,0,1,50,1,1,0,0,8,12,0,0,27,0,0,2,1,15,0,19,70,33,3,23,0,0,50,0,9,0,0,0,0,0,0,0,48,0,49,0,0,1,0,1,2413,0,0,0,0,1,48,1,0,0,0,0,3,0,0,0,49,280,0,0,0,0,0,0,15,0,0,0,13,1297,35,0,0,0,8,0,0,0,0,15,0,0,0,6,0,0,0,0,2,0,2,44,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,49,0,0,0,4,0,0,0,0,0,0,1,0,27,1,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,29,0,7,0,0,9,0,0,0,0,0,0,13,0,28,0,0,273,0,0,0,0,0,0,0,0,41,0,0,0,0,1,0,0,4,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2706,0,0,77,0,15,0,0,0,1,1197,2,0,61,0,0,0,1,1,0,24,0,0,0,2,32,0,3,0,0,11,0
