"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301"
"1",0,0,0,3,0,0,22,4,0,2,0,0,0,0,57,0,0,0,11,0,0,19,0,2,0,2387,0,0,38,201,10,0,0,2,0,0,77,97,0,0,0,1,0,36,0,5,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,10,0,0,0,0,23,1,19,0,7,0,0,0,0,0,0,0,0,1,0,0,2,0,0,13,1,0,5,36,0,202,17,0,0,1,0,0,3,0,0,72,0,0,2,0,0,535,0,0,0,0,0,8,0,0,0,0,61,5,0,0,0,0,153,0,0,0,0,0,0,0,1,0,0,11,854,0,0,0,42,0,0,0,0,0,0,0,0,0,4,0,0,0,0,27,0,0,0,66,5,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,6,1,121,0,0,0,0,0,0,17,0,0,0,0,0,47,2,0,0,1,0,2,0,0,0,8,0,1,0,47,0,0,1,5,184,0,0,0,0,0,20,2,0,0,0,2,0,0,10,0,0,0,5,0,38,0,0,317,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,1,0,0,1,16,7,0,0,55,1,0,0,5,0,0,0,0,0,686,0,0,523,0,12,1,0,0,5,2290,0,0,60,0,0,0,0,1,1,93,0,0,0,0,22,0,28,0,0,93,0
"2",0,0,0,1,0,0,14,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,1294,8,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,194,0,0,0,94,0,0,129,0,0,0,0,0,0,0,0,158,0,0,45,61,0,0,0,0,50,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,139,0,0,0,0,0,0,0,1,0,0,69,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,103,0,2,0,475,0,0,0,0,0,0,3,0,1,0,0,0,6,221,0,0,0,1,0,0,33,0,0,0,0,0,24,260,0,0,0,0,0,0,0,0,0,0,0,213,0,24,0,0,0,0,4,0,0,0,24,0,0,316,13,0,0,33,0,0,0,0,0,0,0,0,0,0,0,987,0,0,0,0,0,0,1,0,0,0,106,0,0,0,0,0,0,0,0,0,0,217,8,0,10,0,0,0,0,12,1,0,0,0,0,0,0,0,65,0,0,0,0,0,0,4169,0,0,0,0,0,0,0,0,0,0,0,0,11,0,67,0,8,0,0,0,0
"3",0,0,0,0,0,0,1,66,0,0,5,0,0,0,0,0,0,0,0,0,38,0,0,128,0,2330,0,0,35,0,0,290,0,103,0,0,27,176,0,0,0,0,0,64,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,78,0,0,0,71,0,0,94,0,0,0,0,0,506,0,0,0,0,43,0,0,279,0,0,0,4,0,0,0,0,0,0,65,0,0,0,0,16,1,0,23,512,0,0,0,86,0,949,10,0,0,0,21,0,0,0,0,1,314,0,0,0,0,0,2,118,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,23,0,2,0,0,0,0,0,148,0,0,0,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,97,0,0,0,5,4,0,0,0,1,0,0,0,0,0,0,122,0,0,0,115,1,0,0,0,0,0,0,262,0,259,0,0,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,1,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1621,0,0,0,0,0,0,0,1,0,0,0,0,2,0,40,0,0,0,0,74,0
"4",0,0,0,0,0,0,1,0,0,0,0,0,2,347,15,0,0,0,0,0,1,1,0,2,0,3984,0,0,45,12,0,378,1,18,0,0,47,1,1,0,0,0,0,5,0,95,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,42,0,0,0,5,0,0,2,0,0,0,0,0,1,0,0,7,0,7,6,0,19,0,29,0,6,4,7,0,1,0,0,6,0,0,0,0,0,1,0,10,0,0,0,0,2,0,103,0,0,0,0,54,5,0,0,23,1,109,0,0,0,0,0,0,79,0,0,0,0,6,0,0,0,35,0,0,0,0,0,2,0,0,3,5,0,0,0,1,0,0,0,0,4,0,0,0,274,0,0,0,3,0,0,0,0,21,0,0,0,0,1,10,0,2,0,0,0,10,0,0,0,0,0,0,93,3,0,0,0,0,0,0,0,0,0,0,1,0,11,2,0,0,19,0,39,0,0,1,0,63,0,12,0,56,0,0,0,0,0,0,0,17,0,53,0,0,356,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,15,2,0,1,0,1,2,0,0,0,1,0,0,0,4,0,0,0,0,42,837,0,1,974,0,0,0,0,1,1,1312,0,0,48,0,0,0,0,3,0,9,0,0,0,0,94,0,41,0,0,9,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,3,3,0,0,0,0,23,0,259,0,0,0,0,0,15,283,0,1,0,0,0,111,0,187,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,25,3,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,5,0,0,57,8,0,19,0,0,0,0,0,4178,62,27,0,0,0,265,0,1,1,6,0,0,0,0,86,0,42,0,0,0,0,0,205,137,0,1,0,7,0,7,0,0,5,0,0,0,0,0,0,0,0,75,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0,3,0,0,0,0,0,0,44,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,104,0,0,182,2,0,0,3,0,0,0,5,0,0,0,0,0,338,0,0,9,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,1,0,0,0,17,0,943,0,0,0,0,0,0,0,34,0,0,0,0,0,4,0,0,2,0,0,0,61,42,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1592,0,0,0,0,0,0,0,0,3,0,0,0,0,0,55,0,5,0,0,215,0
"6",0,0,0,0,0,0,127,0,0,0,0,0,1,0,5,3,77,0,0,0,0,6,0,0,0,1481,0,2,8,11,0,0,0,1,0,0,0,47,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,10,0,0,37,0,0,0,0,0,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1715,0,0,0,0,0,0,0,0,0,0,5,0,0,0,24,3,0,0,0,0,0,0,11,0,117,0,0,0,8,0,0,0,20,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,84,0,0,0,0,0,0,6,0,0,0,0,0,0,157,5,2,0,0,0,0,0,0,0,0,0,0,4,134,0,0,3,3,0,0,0,0,0,0,0,0,130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,40,0,0,0,0,0,0,3,0,0,0,0,0,773,4,0,649,0,0,0,0,0,0,4095,0,37,1,0,5,0,0,0,0,7,0,0,0,0,19,0,8,0,0,6,0
"7",0,20,0,1,0,0,5,35,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,248,0,0,39,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1334,0,0,0,0,1,0,0,7,107,0,0,0,0,678,0,5,4,0,0,0,84,1,0,0,0,0,1,85,0,0,0,0,0,831,0,0,464,0,0,2,0,0,1,29,0,0,3,0,0,6,0,0,0,0,0,0,0,0,1,0,388,0,0,0,1,0,0,138,0,0,3,67,30,2,0,0,0,1,38,0,0,0,0,0,2,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,24,0,0,0,5,0,76,2,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,167,0,0,0,0,0,0,0,0,0,0,4,0,0,0,58,0,0,0,30,0,0,0,0,184,5,0,1,0,0,0,0,0,0,2,0,7,0,0,54,0,7,0,0,0,0,0,0,0,0,0,7,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,148,10,0,1,0,1,0,0,242,0,32,107,0,0,0,0,0,0,72,0,0,0,0,19,35,0,0,0,0,0
"8",0,0,0,0,0,0,2,4,0,0,0,0,0,120,0,0,0,0,0,0,5,0,0,0,0,690,1,0,6,0,0,0,0,125,0,0,0,51,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,6,0,0,0,0,12,0,0,0,0,0,0,11,0,0,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,174,2,0,0,0,0,0,288,0,0,0,0,15,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,12,29,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,324,0,34,0,0,7,68,18,0,0,0,0,5,0,1,18,15,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,90,119,0,100,1,0,0,0,0,0,0,0,0,298,0,0,1,0,0,25,0,0,0,0,26,0,301,290,17,0,1410,0,1,0,0,0,0,1650,0,2307,0,0,1112,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0
"9",0,0,0,0,0,0,0,42,0,0,0,0,1,268,14,0,0,0,0,0,97,17,0,3,0,1,0,0,19,12,370,0,0,32,0,0,0,127,0,0,0,10,0,154,0,55,0,0,0,0,2,0,0,0,14,0,0,1,0,158,1,148,0,0,0,0,30,0,0,143,37,0,0,98,0,195,0,0,0,434,0,0,0,0,796,0,78,0,0,0,1,51,2,1,0,0,0,0,52,0,0,22,0,0,1,1,175,431,0,0,0,0,0,1,0,0,0,1,97,0,0,0,0,2,51,0,0,0,0,0,58,362,0,0,0,0,84,0,0,0,0,0,0,0,0,0,36,13,0,0,5,102,0,46,0,0,0,0,0,11,0,0,0,147,0,0,0,0,0,0,4,0,0,0,0,0,0,144,166,1,0,0,0,0,0,0,0,0,0,0,0,5,0,35,0,0,0,0,0,0,0,0,0,318,0,94,0,0,0,1,0,0,0,0,11,0,31,429,0,0,0,1,0,0,0,0,0,0,193,0,7,0,0,278,0,0,5,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,27,0,5,0,6,0,0,58,0,0,0,24,6,0,0,0,7,193,0,24,241,0,0,1,1,1,6,2310,0,0,214,0,0,0,22,0,0,90,0,0,1,0,1,45,10,0,0,52,0
"10",0,0,0,0,0,0,1,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,44,0,297,38,75,0,0,0,0,149,66,0,354,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,13,0,135,0,0,9,0,0,531,0,0,0,0,0,35,0,0,0,0,0,20,0,0,5120,0,0,0,0,0,301,0,0,0,0,10,0,0,0,0,1,106,0,0,0,0,0,54,145,0,162,0,0,49,1,0,0,22,0,0,0,0,0,0,0,0,0,23,0,0,2,0,0,0,0,0,5,0,0,0,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,32,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,30,0,0,180,0,366,4,0,21,0,0,0,0,0,0,178,0,7,0,0,386,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,8,1,0,0,0,0,0,0,0,0,2,0,57,35,0,0,0,0,0,3,1284,0,0,20,0,0,0,22,0,0,5,0,0,0,0,13,0,0,0,0,0,0
