,shannon,Dataset
Glcikman_MDR6,8.091351412009121,New
FEB016W1.01,8.094139444138744,Old
DEB01624.01,8.095658988379059,Old
Glcikman_MDR11,8.107126374099979,New
AEB016X3.01,8.093042453070721,Old
Glcikman_MDR5,8.092262595084046,New
JEB014L3.01,8.111505485268856,Old
Glcikman_MDR7,8.106455605724193,New
Glcikman_MDR8,8.119524405612784,New
Glcikman_MDR4,8.110771598070727,New
Glcikman_MDR15,8.118133011130421,New
FEB017BF.01,8.100934582780921,Old
Glcikman_MDR48,8.1105977918997,New
CEB017CZ.01,8.08522295946371,Old
Glcikman_MDR47,8.108750540481731,New
AEB01513.01,8.100587290610116,Old
Glcikman_MDR30,8.100962455808645,New
X0096CK00,8.12140362014859,Old
EEB016WS.01,8.074260536104035,Old
Glcikman_MDR46,8.122739691571754,New
GEB0179R.01,8.119841756330771,Old
Glcikman_MDR22,8.112360526863526,New
Glcikman_MDR73,8.107797152360689,New
FEB016P3.01,8.075442387437139,Old
Glcikman_MDR29,8.107608369180282,New
X0094QH00,8.12143458304666,Old
Glcikman_MDR38,8.109819487626316,New
Glcikman_MDR70,8.120315455536286,New
Glcikman_MDR72,8.119694787160515,New
Glcikman_MDR85,8.092149324705247,New
Glcikman_MDR33,8.122669370421603,New
CEB015DP.01,8.105134440826319,Old
CEB01751.01,8.070986088884034,Old
EEB010Y7.01,8.098246223999977,Old
JEB0150S.01,8.083057205677603,Old
X009DDC00,8.1225430469447,Old
CEB0106R.01,8.105864756161127,Old
Glcikman_MDR45,8.106619092660328,New
Glcikman_MDR35,8.104747674909646,New
Glcikman_MDR19,8.106111050181314,New
Glcikman_MDR110,8.113295786999943,New
Glcikman_MDR79,8.102904145268688,New
Glcikman_MDR111,8.11769621792144,New
DEB015RL.01,8.105486844511365,Old
Glcikman_MDR107,8.113946422728414,New
Glcikman_MDR74,8.119569293694722,New
X009CZF00,8.121705114249604,Old
CEB017KB.01,8.066248360723815,Old
Glcikman_MDR36,8.117465436628958,New
X0096YA00,8.121728618389351,Old
Glcikman_MDR13,8.121285263798708,New
Glcikman_MDR105,8.112340581534365,New
Glcikman_MDR67,8.11892150636119,New
KEB016MJ.01,8.0750056020468,Old
Glcikman_MDR101,8.115454242425375,New
Glcikman_MDR76,8.115908918832407,New
Glcikman_MDR68,8.11389923949334,New
BEB0155H.01,8.040903034398983,Old
BEB017YQ.01,8.116457078200066,Old
GEB011FN.01,8.099014704106457,Old
Glcikman_MDR86,8.103693010586696,New
FEB016J7.01,8.092788676695378,Old
Glcikman_MDR106,8.096900430846244,New
Glcikman_MDR63,8.121732187224332,New
Glcikman_MDR9,8.101495659762648,New
HEB014KS.01,8.094361058298636,Old
X0096QK00,8.119768527571964,Old
X0098FC00,8.119290908995401,Old
X009DCG00,8.121683892450886,Old
Glcikman_MDR3,8.092097099509047,New
X0094NK00,8.12112192689055,Old
HEB0102P.01,8.094691120617746,Old
Glcikman_MDR10,8.104078431446862,New
GEB0183R.01,8.091438589104166,Old
Glcikman_MDR31,8.103389317120126,New
Glcikman_MDR59,8.108695741365345,New
EEB017FR.01,8.088009346557568,Old
Glcikman_MDR24,8.115282779972171,New
Glcikman_MDR78,8.094188888311226,New
KEB016WG.01,8.039479572869128,Old
GEB015VW.01,8.086059206502851,Old
Glcikman_MDR18,8.120052713321977,New
Glcikman_MDR28,8.096239789306432,New
Glcikman_MDR77,8.084956979355153,New
AEB010TH.01,8.094288904097613,Old
X0098SG00,8.121678153329476,Old
BEB010DX.01,8.08388403613678,Old
Glcikman_MDR89,8.108774929496347,New
X00924J00,8.122094630969245,Old
Glcikman_MDR71,8.115919028397183,New
DEB014GJ.01,8.121664783337815,Old
Glcikman_MDR83,8.119008680403345,New
DEB0169N.01,8.113672622737694,Old
DEB0114X.01,8.101628127964227,Old
FEB015S1.01,8.076294373873038,Old
HEB014G6.01,8.062539982749636,Old
AEB016HN.01,8.043816201979737,Old
DEB0184Z.01,8.078503005661043,Old
Glcikman_MDR66,8.117400798533197,New
Glcikman_MDR99,8.110210744010562,New
Glcikman_MDR23,8.120658874523727,New
Glcikman_MDR37,8.114097490002335,New
Glcikman_MDR88,8.106375885940015,New
Glcikman_MDR41,8.076852988101832,New
X008YSA00,8.092013826358485,Old
Glcikman_MDR80,8.112424970936953,New
Glcikman_MDR61,8.098135242878378,New
Glcikman_MDR52,8.116732018900624,New
Glcikman_MDR25,8.118947464271754,New
Glcikman_MDR44,8.092137044022513,New
X009C8G00,8.121659750886236,Old
Glcikman_MDR53,8.111660556053153,New
Glcikman_MDR55,8.11238750286693,New
X009J7E00,8.121858936741571,Old
Glcikman_MDR2,8.09444460831575,New
X00990K00,8.120920192355188,Old
HEB017PG.01,8.078575338100288,Old
Glcikman_MDR98,8.119718608192407,New
Glcikman_MDR100,8.114274136298242,New
