,combat_seq,limma,MMUPHin,ConQuR,ConQuR_libsize,harmony,percentile_norm,nobc
batch_aitch_r2,0.0547597545746549,0.032226557794066,0.1032658203827826,0.0110892533979596,0.0426446623143998,0.054764188822456,0.0070660486512688,0.2392116852409229
biovar_aitch_r2,0.0089616318384001,0.007763412870881,0.0092750608266336,0.0139828589489539,0.0109278259356038,0.0071033192561241,0.008317090352686,0.0082000176005565
aitch_pval_batch,0.001,0.001,0.001,0.063,0.001,0.001,0.579,0.001
aitch_pval_biovar,0.211,0.418,0.194,0.007,0.068,0.447,0.259,0.275
batch_bray_r2,0.1088182986273067,0.0518955011324408,0.1205630113599646,0.0010968762936721,0.1767172433116367,0.1373655111203038,0.0051513067079429,0.3136444096299769
biovar_bray_r2,0.0083694396300282,0.0064543010552256,0.0085764309750153,0.0066313509155762,0.0093489494221833,0.0059761509330029,0.0084902152542597,0.0088135591763625
batch_shannon_pval,0.0888329341165643,0.0128555635283292,0.0740982607009433,0.4119568727647026,0.1565795538701138,0.0001264942132135,0.7059871333804926,0.3047840980537657
biovar_shannon_pval,0.8125467805618759,0.0596040332702922,0.7473353442202928,0.9429282150349924,0.5790161857863263,0.9286945079212676,0.0996465592879887,0.2690858016828124
bray_pval_batch,0.001,0.001,0.001,0.996,0.001,0.001,0.9,0.001
bray_pval_biovar,0.303,0.682,0.336,0.496,0.255,0.5,0.285,0.298
rf_baseline_likelihood,0.5522388059701493,0.5522388059701493,0.5522388059701493,0.5522388059701493,0.5522388059701493,0.5522388059701493,0.5522388059701493,0.5522388059701493
rf_average_acc,0.5671641791044776,0.582089552238806,0.4925373134328358,0.6343283582089553,0.6343283582089553,0.4701492537313433,0.5074626865671642,0.5597014925373134
rf_macro_precision,0.5622605363984674,0.5856331168831169,0.4369658119658119,0.6417027417027417,0.6543513957307061,0.429004329004329,0.4496753246753247,0.5443059882312218
rf_weighted_precision,0.5629610567850404,0.585081895716224,0.4464536292894502,0.6400895953134759,0.6506629414503836,0.4380047812883634,0.4586644698584997,0.5470002014847879
rf_macro_recall,0.5292792792792793,0.5475225225225225,0.4601351351351351,0.6105855855855856,0.6058558558558559,0.4445945945945946,0.4720720720720721,0.5288288288288289
rf_weighted_recall,0.5671641791044776,0.582089552238806,0.4925373134328358,0.6343283582089553,0.6343283582089553,0.4701492537313433,0.5074626865671642,0.5597014925373134
rf_macro_f1,0.4755735492577598,0.5079989509572516,0.4178379759775108,0.6004867660480682,0.5878475927437072,0.4211134773349558,0.4201416207710464,0.4979361148155204
rf_weighted_f1,0.4984712067194392,0.5279464205330546,0.439625282735314,0.6126350299006943,0.6023082753328955,0.438716063733659,0.4436511384853858,0.5163343124347779
rf_auc,0.5292792792792793,0.5475225225225225,0.4601351351351351,0.6105855855855855,0.605855855855856,0.4445945945945946,0.472072072072072,0.5288288288288289
runtime,0.266416072845459,0.00856375694274902,0.653737783432007,27.8435742855072,28.1608307361603,0.12707304954528809,0.3752152919769287,NA
