"subjectid_text","batchid_text","subjectid_text.1"
"Fst1","batch_0","Fst1"
"Fst2","0","Fst2"
"Fst3","0","Fst3"
"Fst4","0","Fst4"
"Fst5","0","Fst5"
"Fst6","0","Fst6"
"Fst7","0","Fst7"
"Fst8","0","Fst8"
"Fst9","1","Fst9"
"Fst10","1","Fst10"
"Fst11","1","Fst11"
"Fst12","0","Fst12"
"Fst13","1","Fst13"
"Fst14","0","Fst14"
"Fst15","1","Fst15"
"Fst16","0","Fst16"
"Fst17","1","Fst17"
"Fst18","0","Fst18"
"Fst19","0","Fst19"
"Fst20","1","Fst20"
"Fst21","1","Fst21"
"Fst22","1","Fst22"
"Fst23","1","Fst23"
"Fst24","1","Fst24"
"Fst25","0","Fst25"
"Fst26","0","Fst26"
"Fst27","1","Fst27"
"Fst28","0","Fst28"
"Fst29","0","Fst29"
"Fst30","1","Fst30"
"Fst31","1","Fst31"
"Fst32","0","Fst32"
"Fst33","0","Fst33"
"Fst34","0","Fst34"
"Fst35","1","Fst35"
"Fst36","1","Fst36"
"Fst37","1","Fst37"
"Fst38","0","Fst38"
"Fst39","0","Fst39"
"Fst40","0","Fst40"
"Fst41","0","Fst41"
"Fst42","0","Fst42"
"Fst43","1","Fst43"
"Fst44","0","Fst44"
"Fst45","1","Fst45"
"Fst46","0","Fst46"
"Fst47","1","Fst47"
"Fst48","1","Fst48"
"Fst49","1","Fst49"
"Fst50","0","Fst50"
"Fst51","0","Fst51"
"Fst52","0","Fst52"
"Fst53","1","Fst53"
"Fst54","0","Fst54"
"Fst55","1","Fst55"
"Fst56","0","Fst56"
"Fst57","1","Fst57"
"Fst58","1","Fst58"
"Fst59","1","Fst59"
"Fst60","0","Fst60"
"Fst61","0","Fst61"
"Fst62","0","Fst62"
"Fst63","0","Fst63"
"Fst64","1","Fst64"
"Fst65","0","Fst65"
"Fst66","1","Fst66"
"Fst67","0","Fst67"
"Fst68","1","Fst68"
"Fst69","1","Fst69"
"Fst70","0","Fst70"
"Fst71","1","Fst71"
"Fst72","0","Fst72"
"Fst73","0","Fst73"
"Fst74","1","Fst74"
"Fst75","1","Fst75"
"Fst76","1","Fst76"
"Fst77","0","Fst77"
"Fst78","0","Fst78"
"Fst79","0","Fst79"
"Fst80","1","Fst80"
"Fst81","1","Fst81"
"Fst82","0","Fst82"
"Fst83","1","Fst83"
"Fst84","1","Fst84"
"Fst85","0","Fst85"
"Fst86","1","Fst86"
"Fst87","0","Fst87"
"Fst88","1","Fst88"
"Fst89","1","Fst89"
"Fst90","1","Fst90"
"Fst91","1","Fst91"
"Fst92","0","Fst92"
"Fst93","1","Fst93"
"Fst94","1","Fst94"
"Fst95","0","Fst95"
"Fst96","1","Fst96"
"Fst97","0","Fst97"
"Fst98","0","Fst98"
"Fst99","1","Fst99"
"Fst100","0","Fst100"
"Fst101","1","Fst101"
"Fst102","0","Fst102"
"Fst103","1","Fst103"
"Fst104","0","Fst104"
"Fst105","0","Fst105"
"Fst106","1","Fst106"
"Fst107","1","Fst107"
"Fst108","0","Fst108"
"Fst109","1","Fst109"
"Fst110","1","Fst110"
"Fst111","1","Fst111"
"Fst112","0","Fst112"
"Fst113","1","Fst113"
"Fst114","0","Fst114"
"Fst115","0","Fst115"
"Fst116","0","Fst116"
"Fst117","0","Fst117"
"Fst118","1","Fst118"
"Fst119","1","Fst119"
"Fst120","0","Fst120"
"Fst121","0","Fst121"
