"subjectid_text","batchid_text","subjectid_text.1"
"Fst1","batch_0","Fst1"
"Fst2","1","Fst2"
"Fst3","1","Fst3"
"Fst4","0","Fst4"
"Fst5","0","Fst5"
"Fst6","1","Fst6"
"Fst7","1","Fst7"
"Fst8","0","Fst8"
"Fst9","1","Fst9"
"Fst10","1","Fst10"
"Fst11","1","Fst11"
"Fst12","1","Fst12"
"Fst13","0","Fst13"
"Fst14","0","Fst14"
"Fst15","1","Fst15"
"Fst16","1","Fst16"
"Fst17","0","Fst17"
"Fst18","1","Fst18"
"Fst19","0","Fst19"
"Fst20","1","Fst20"
"Fst21","0","Fst21"
"Fst22","0","Fst22"
"Fst23","0","Fst23"
"Fst24","0","Fst24"
"Fst25","0","Fst25"
"Fst26","1","Fst26"
"Fst27","0","Fst27"
"Fst28","0","Fst28"
"Fst29","1","Fst29"
"Fst30","0","Fst30"
"Fst31","0","Fst31"
"Fst32","0","Fst32"
"Fst33","0","Fst33"
"Fst34","0","Fst34"
"Fst35","0","Fst35"
"Fst36","1","Fst36"
"Fst37","1","Fst37"
"Fst38","0","Fst38"
"Fst39","1","Fst39"
"Fst40","0","Fst40"
"Fst41","1","Fst41"
"Fst42","0","Fst42"
"Fst43","1","Fst43"
"Fst44","0","Fst44"
"Fst45","0","Fst45"
"Fst46","1","Fst46"
"Fst47","1","Fst47"
"Fst48","1","Fst48"
"Fst49","1","Fst49"
"Fst50","1","Fst50"
"Fst51","0","Fst51"
"Fst52","1","Fst52"
"Fst53","0","Fst53"
"Fst54","0","Fst54"
"Fst55","0","Fst55"
"Fst56","0","Fst56"
"Fst57","0","Fst57"
"Fst58","1","Fst58"
"Fst59","1","Fst59"
"Fst60","0","Fst60"
"Fst61","0","Fst61"
"Fst62","0","Fst62"
"Fst63","1","Fst63"
"Fst64","1","Fst64"
"Fst65","1","Fst65"
"Fst66","0","Fst66"
"Fst67","1","Fst67"
"Fst68","0","Fst68"
"Fst69","0","Fst69"
"Fst70","1","Fst70"
"Fst71","0","Fst71"
"Fst72","0","Fst72"
"Fst73","0","Fst73"
"Fst74","1","Fst74"
"Fst75","0","Fst75"
"Fst76","1","Fst76"
"Fst77","1","Fst77"
"Fst78","1","Fst78"
"Fst79","0","Fst79"
"Fst80","1","Fst80"
"Fst81","0","Fst81"
"Fst82","0","Fst82"
"Fst83","0","Fst83"
"Fst84","1","Fst84"
"Fst85","1","Fst85"
"Fst86","1","Fst86"
"Fst87","0","Fst87"
"Fst88","0","Fst88"
"Fst89","0","Fst89"
"Fst90","1","Fst90"
"Fst91","0","Fst91"
"Fst92","1","Fst92"
"Fst93","1","Fst93"
"Fst94","1","Fst94"
"Fst95","1","Fst95"
"Fst96","0","Fst96"
"Fst97","0","Fst97"
"Fst98","0","Fst98"
"Fst99","0","Fst99"
"Fst100","1","Fst100"
"Fst101","1","Fst101"
"Fst102","0","Fst102"
"Fst103","1","Fst103"
"Fst104","1","Fst104"
"Fst105","0","Fst105"
"Fst106","1","Fst106"
"Fst107","0","Fst107"
"Fst108","1","Fst108"
"Fst109","0","Fst109"
"Fst110","0","Fst110"
"Fst111","1","Fst111"
"Fst112","1","Fst112"
"Fst113","0","Fst113"
"Fst114","0","Fst114"
"Fst115","0","Fst115"
"Fst116","1","Fst116"
"Fst117","0","Fst117"
"Fst118","0","Fst118"
"Fst119","0","Fst119"
"Fst120","0","Fst120"
"Fst121","0","Fst121"
"Fst122","0","Fst122"
"Fst123","1","Fst123"
"Fst124","1","Fst124"
"Fst125","0","Fst125"
"Fst126","0","Fst126"
"Fst127","0","Fst127"
"Fst128","1","Fst128"
"Fst129","0","Fst129"
"Fst130","1","Fst130"
"Fst131","1","Fst131"
"Fst132","1","Fst132"
"Fst133","1","Fst133"
"Fst134","0","Fst134"
"Fst135","0","Fst135"
"Fst136","1","Fst136"
"Fst137","0","Fst137"
"Fst138","1","Fst138"
"Fst139","1","Fst139"
"Fst140","0","Fst140"
"Fst141","1","Fst141"
"Fst142","0","Fst142"
"Fst143","1","Fst143"
"Fst144","0","Fst144"
"Fst145","0","Fst145"
"Fst146","1","Fst146"
"Fst147","1","Fst147"
"Fst148","0","Fst148"
"Fst149","0","Fst149"
"Fst150","0","Fst150"
"Fst151","0","Fst151"
"Fst152","1","Fst152"
"Fst153","0","Fst153"
"Fst154","0","Fst154"
"Fst155","0","Fst155"
"Fst156","0","Fst156"
"Fst157","0","Fst157"
"Fst158","1","Fst158"
"Fst159","1","Fst159"
"Fst160","0","Fst160"
"Fst161","1","Fst161"
"Fst162","1","Fst162"
"Fst163","0","Fst163"
"Fst164","1","Fst164"
"Fst165","1","Fst165"
"Fst166","1","Fst166"
"Fst167","1","Fst167"
"Fst168","0","Fst168"
"Fst169","0","Fst169"
"Fst170","1","Fst170"
"Fst171","1","Fst171"
"Fst172","1","Fst172"
"Fst173","0","Fst173"
"Fst174","1","Fst174"
"Fst175","0","Fst175"
"Fst176","0","Fst176"
"Fst177","0","Fst177"
"Fst178","0","Fst178"
"Fst179","1","Fst179"
"Fst180","0","Fst180"
"Fst181","0","Fst181"
"Fst182","0","Fst182"
"Fst183","0","Fst183"
"Fst184","0","Fst184"
"Fst185","1","Fst185"
"Fst186","0","Fst186"
"Fst187","1","Fst187"
"Fst188","1","Fst188"
"Fst189","0","Fst189"
"Fst190","0","Fst190"
"Fst191","0","Fst191"
"Fst192","1","Fst192"
"Fst193","0","Fst193"
"Fst194","1","Fst194"
"Fst195","1","Fst195"
"Fst196","1","Fst196"
"Fst197","0","Fst197"
"Fst198","1","Fst198"
"Fst199","0","Fst199"
"Fst200","1","Fst200"
"Fst201","1","Fst201"
"Fst202","0","Fst202"
"Fst203","1","Fst203"
"Fst204","1","Fst204"
"Fst205","0","Fst205"
"Fst206","0","Fst206"
"Fst207","1","Fst207"
"Fst208","1","Fst208"
"Fst209","1","Fst209"
"Fst210","1","Fst210"
"Fst211","1","Fst211"
"Fst212","1","Fst212"
"Fst213","0","Fst213"
"Fst214","0","Fst214"
"Fst215","0","Fst215"
"Fst216","0","Fst216"
"Fst217","0","Fst217"
"Fst218","1","Fst218"
"Fst219","1","Fst219"
"Fst220","0","Fst220"
"Fst221","0","Fst221"
"Fst222","0","Fst222"
"Fst223","0","Fst223"
"Fst224","0","Fst224"
"Fst225","1","Fst225"
"Fst226","0","Fst226"
"Fst227","0","Fst227"
"Fst228","0","Fst228"
"Fst229","0","Fst229"
"Fst230","1","Fst230"
"Fst231","1","Fst231"
"Fst232","1","Fst232"
"Fst233","1","Fst233"
"Fst234","0","Fst234"
"Fst235","1","Fst235"
"Fst236","1","Fst236"
"Fst237","0","Fst237"
"Fst238","1","Fst238"
"Fst239","1","Fst239"
"Fst240","0","Fst240"
"Fst241","1","Fst241"
"Fst242","0","Fst242"
"Fst243","1","Fst243"
"Fst244","0","Fst244"
"Fst245","0","Fst245"
"Fst246","1","Fst246"
"Fst247","0","Fst247"
"Fst248","0","Fst248"
"Fst249","0","Fst249"
"Fst250","1","Fst250"
"Fst251","0","Fst251"
"Fst252","0","Fst252"
"Fst253","0","Fst253"
"Fst254","0","Fst254"
"Fst255","1","Fst255"
"Fst256","0","Fst256"
"Fst257","0","Fst257"
"Fst258","1","Fst258"
"Fst259","1","Fst259"
"Fst260","1","Fst260"
"Fst261","1","Fst261"
"Fst262","0","Fst262"
"Fst263","1","Fst263"
"Fst264","1","Fst264"
"Fst265","1","Fst265"
"Fst266","0","Fst266"
"Fst267","1","Fst267"
"Fst268","0","Fst268"
"Fst269","0","Fst269"
"Fst270","0","Fst270"
"Fst271","0","Fst271"
"Fst272","1","Fst272"
"Fst273","1","Fst273"
"Fst274","0","Fst274"
"Fst275","1","Fst275"
"Fst276","0","Fst276"
"Fst277","1","Fst277"
"Fst278","0","Fst278"
"Fst279","1","Fst279"
"Fst280","0","Fst280"
"Fst281","1","Fst281"
"Fst282","0","Fst282"
"Fst283","1","Fst283"
"Fst284","0","Fst284"
"Fst285","0","Fst285"
"Fst286","1","Fst286"
"Fst287","1","Fst287"
"Fst288","1","Fst288"
"Fst289","0","Fst289"
"Fst290","1","Fst290"
"Fst291","0","Fst291"
"Fst292","0","Fst292"
"Fst293","1","Fst293"
"Fst294","0","Fst294"
"Fst295","0","Fst295"
"Fst296","0","Fst296"
"Fst297","1","Fst297"
"Fst298","1","Fst298"
"Fst299","0","Fst299"
"Fst300","1","Fst300"
"Fst301","0","Fst301"
"Fst302","1","Fst302"
"Fst303","1","Fst303"
"Fst304","1","Fst304"
"Fst305","1","Fst305"
"Fst306","0","Fst306"
"Fst307","1","Fst307"
"Fst308","1","Fst308"
"Fst309","0","Fst309"
"Fst310","1","Fst310"
"Fst311","1","Fst311"
"Fst312","0","Fst312"
"Fst313","0","Fst313"
"Fst314","0","Fst314"
"Fst315","1","Fst315"
"Fst316","0","Fst316"
"Fst317","1","Fst317"
"Fst318","1","Fst318"
"Fst319","1","Fst319"
"Fst320","0","Fst320"
"Fst321","1","Fst321"
"Fst322","0","Fst322"
"Fst323","0","Fst323"
"Fst324","0","Fst324"
"Fst325","0","Fst325"
"Fst326","1","Fst326"
"Fst327","1","Fst327"
"Fst328","1","Fst328"
"Fst329","0","Fst329"
"Fst330","0","Fst330"
"Fst331","0","Fst331"
"Fst332","0","Fst332"
"Fst333","1","Fst333"
"Fst334","0","Fst334"
"Fst335","0","Fst335"
"Fst336","0","Fst336"
"Fst337","1","Fst337"
"Fst338","0","Fst338"
"Fst339","0","Fst339"
"Fst340","0","Fst340"
"Fst341","0","Fst341"
"Fst342","1","Fst342"
"Fst343","1","Fst343"
"Fst344","0","Fst344"
"Fst345","0","Fst345"
"Fst346","1","Fst346"
"Fst347","1","Fst347"
"Fst348","1","Fst348"
"Fst349","1","Fst349"
"Fst350","1","Fst350"
"Fst351","0","Fst351"
"Fst352","0","Fst352"
"Fst353","1","Fst353"
"Fst354","1","Fst354"
"Fst355","0","Fst355"
"Fst356","0","Fst356"
"Fst357","0","Fst357"
"Fst358","0","Fst358"
"Fst359","0","Fst359"
"Fst360","0","Fst360"
"Fst361","0","Fst361"
"Fst362","0","Fst362"
"Fst363","1","Fst363"
"Fst364","1","Fst364"
"Fst365","0","Fst365"
"Fst366","0","Fst366"
"Fst367","1","Fst367"
"Fst368","0","Fst368"
"Fst369","0","Fst369"
"Fst370","0","Fst370"
