,shannon,Dataset
A16,6.076930874037154,autism_kb
A18,5.949452009748033,autism_kb
F-057-C2U,6.028318648925225,asd_son
F-018C1A,5.866855725816451,asd_son
N14,6.056533951309038,autism_kb
F-023C2U,6.105568918639862,asd_son
F-048-C1A,6.066590198489981,asd_son
N08,6.065249570546086,autism_kb
F-058-C1A,6.010623559889632,asd_son
F-037-C2U,6.1393601976808,asd_son
F-036-C1A,6.09519124465394,asd_son
F-050-C1A,6.041302769053429,asd_son
N01,6.017578261044304,autism_kb
F-051-C2U,6.006376597703777,asd_son
F-033C1A,5.995186163895197,asd_son
A14,5.967115755066457,autism_kb
F-025C1A,6.120503034139111,asd_son
F064-C1A,6.019078800778322,asd_son
F-037-C1A,6.019932120350697,asd_son
F-053-C1U,6.127074977713015,asd_son
N05,6.14526720357283,autism_kb
F-027C2U,5.832919826988291,asd_son
N17,6.041101052879888,autism_kb
F-042-C1A,5.962841326860911,asd_son
F-031C1U,6.018876994181757,asd_son
N04,6.147954193511341,autism_kb
F-039-C2U,5.858934816468254,asd_son
F-030C2U,5.992581378922022,asd_son
F-026C1A,6.297099732787614,asd_son
F-038-C1A,5.918370385870243,asd_son
F-030C1A,5.886000035264929,asd_son
A15,6.0101521001366995,autism_kb
F-062-C2U,6.045890953624731,asd_son
N13,6.029311801289844,autism_kb
F-060-C1A,5.947368912725937,asd_son
A06,6.060025428061905,autism_kb
F-005C1A,6.056387102215001,asd_son
F063-C1U,5.920815697622697,asd_son
A04,6.027426223688386,autism_kb
F-019C2U,5.971526945550447,asd_son
N18,5.962473214198803,autism_kb
N02,5.946080904683254,autism_kb
F-021C1A,5.885791661891771,asd_son
F-028C1A,5.995717417891966,asd_son
F-003C2U,5.992849289007884,asd_son
F-009C1A,5.952455279438188,asd_son
F-027C1A,6.058374210626521,asd_son
N10,6.015070942417057,autism_kb
F-035-C1A,6.223994022329419,asd_son
F066-C2U,6.077492015649362,asd_son
F-054-C1A,5.975502469877036,asd_son
F-002C1A,5.922711283381228,asd_son
F-042-C2U,5.850880102388429,asd_son
F-021C2U,5.94944178308961,asd_son
F-019C1A,6.009772397326869,asd_son
F-043-C1A,5.902190187201498,asd_son
F-029C1A,5.902711037718475,asd_son
F-008C2U,6.135354791391293,asd_son
F-024C1A,5.9676506162474405,asd_son
F-050-C2U,6.0374531043627275,asd_son
F-013C1U,6.12058831385708,asd_son
A02,6.102847898845664,autism_kb
F-024C2U,5.900350220411266,asd_son
F-022C1A,6.036714827951884,asd_son
A07,6.0623170053333295,autism_kb
F066-C1A,6.180044056289989,asd_son
N09,5.952328331050137,autism_kb
N06,5.980347919776371,autism_kb
F-008C1A,5.9996805508466196,asd_son
N03,5.968817132402434,autism_kb
F-015C2U,6.133032386831602,asd_son
N12,5.925619277483928,autism_kb
F-010C1A,5.9416665513380815,asd_son
F-044-C2U,5.9944226277324395,asd_son
F-017C2U,6.078510423136414,asd_son
F-057-C1A,6.073225993279626,asd_son
F-061-C2U,6.1146906665483485,asd_son
F-016C2U,6.075489744679599,asd_son
F-058-C2U,6.137298287010254,asd_son
F-047-C1A,6.033479042896164,asd_son
F-012C1A,6.004820537379346,asd_son
N20,6.06199570598813,autism_kb
F-006C1A,6.04304212188274,asd_son
A10,5.886669417409202,autism_kb
F-029C2U,5.945137880609436,asd_son
F-017C1A,5.973089678945269,asd_son
F-022C2U,6.003507285183344,asd_son
A08,6.166459573943708,autism_kb
F-034C1A,6.04039524695787,asd_son
F-003C1A,5.9934464278167825,asd_son
F065-C1A,6.039414788830532,asd_son
A13,5.987464808724345,autism_kb
A17,5.822710460660536,autism_kb
F-061-C1A,6.055103118203545,asd_son
F-032C1A,6.032054250633952,asd_son
F-039-C1A,6.100713059051353,asd_son
F-045-C1A,5.973524345053975,asd_son
F-011C1A,6.018604103090081,asd_son
F-051-C1A,6.019119150628057,asd_son
A01,6.034550966912631,autism_kb
A09,5.977049473423854,autism_kb
F-041-C2U,6.085041021356798,asd_son
F-020C1A,6.027673358002187,asd_son
F-002C2U,6.011339502698522,asd_son
F-062-C1A,6.14021867209772,asd_son
N16,5.947088483566309,autism_kb
A12,5.989659151399673,autism_kb
F-055-C1U,5.986161566014286,asd_son
F-052-C1U,5.9561129991155966,asd_son
F-009C2U,5.919414956497263,asd_son
F-004C1A,5.8635634329268775,asd_son
F-007C1A,5.786482764207134,asd_son
F-056-C1A,6.09069070161416,asd_son
F-004C2U,6.033896749826608,asd_son
F-015C1A,6.019762680543868,asd_son
F-007C2U,6.054277542663327,asd_son
F-040-C1A,6.100494633975837,asd_son
A03,5.948350763243776,autism_kb
F-016C1A,5.812987626469291,asd_son
F-023C1A,5.998857835110884,asd_son
A05,5.9886566172196725,autism_kb
F-059-C1A,6.140770028115956,asd_son
F-014C1A,6.128075487708584,asd_son
N19,6.090761642973973,autism_kb
F-054-C2U,5.854314662512786,asd_son
F-046-C1A,6.180352131915751,asd_son
F-044-C1A,6.081835854189413,asd_son
N11,6.032876289499539,autism_kb
F-028C2U,6.038676508692091,asd_son
N07,6.039765077774337,autism_kb
F-020C2U,6.130387868975778,asd_son
F-041-C1A,5.932206819840836,asd_son
N15,5.997323196993323,autism_kb
A11,6.044368388940708,autism_kb
F-049-C1U,5.9962427434409085,asd_son
F-014C2U,5.94993064400652,asd_son
F-025C2U,5.947724881738918,asd_son
F-046-C2U,5.939314859191619,asd_son
F-018C2U,6.049265663001951,asd_son
A19,5.9380075632434055,autism_kb
F-001C1A,5.938852566589705,asd_son
F-001C2U,5.958549646199793,asd_son
